質問ID,カテゴリー,質問,回答,文字数,更新日時
q001,幼少期,あなたが生まれ育った環境について教えてください。家族構成や地域の特徴、幼少期の家庭の経済状況なども含めて。,1985年10月6日に産まれた。逆子で、産まれるときにへその緒が首に巻き付いていて焦ったと聞いた。生まれた時は祖父祖母、父母、3つ上の姉、一つ上の姉、自分、犬（雑種）、それから8年後に妹が産まれる。今からすると大家族だが昔は当たり前だった。子供の頃は姉2人と毎日ケンカしていた記憶がある。テレビだったりおもちゃだったりの取り合い、いつも2対1で負ける。不思議なのは、当時よねばあと言う曾祖母ちゃんがいた記憶があるのだが、自分が産まれた時はもうよねばあは他界していたとのこと。でも座敷に笑うよねばあの顔を何となく覚えている。地域は新潟県北魚沼郡湯之谷村七日市というところ。今は平成の大合併で北魚沼郡も湯之谷村もなくなって魚沼市になっている。今もあるが、家の横に大きな桜の木、当時は家の前の道は舗装されていなかった。経済状況は、親父がとにかく忙しそうにしてたのを覚えている。親父が社長に代わってからは少し裕福な方だったのかもしれない。外車を買って家族で旅行に行ったのを覚えている（当時は外車と知らなかったが）でもその外車は毎月壊れて、すぐに手放した気がする。見た目は好きだった。犬はももこという名前で、親せきからもらった犬だったと思う。見た目は毛が長いシェルティーみたいな雑種。当時は今と違って車庫の中に犬小屋があって、一日中そこにつなぎっぱなし。でも、そこから大桃家はずっと犬を飼っていた。,594,"2025-07-04 18:05:30"
q002,幼少期,子供の頃、どんな夢を持っていましたか？また、その頃から「ものを大切にする」「環境を意識する」ような経験はありましたか？,子供の頃の夢は科学者や発明家だった。理科や図画工作が好きで、段ボールや牛乳パックやペットボトルでよく工作をしていた。実家のアルバムには段ボールで作った鎧を着ている写真がある笑　ものや自然を大切にする意識は特になかった。そもそも田舎なので周りは自然に囲まれているので自然の中で遊ぶのが当たり前だった。家族でよくキャンプにも行った。子供の頃の社会貢献と言えば、阪神淡路大震災が起こり、テレビで見ていた自分はショックを受けてその年のお年玉全部５万円分だか？を寄付した記憶がある。,236,"2025-07-04 18:10:07"
q003,幼少期,幼少期に最も影響を受けた人物は誰ですか？その人から学んだ価値観や教えを具体的に教えてください。,幼少期に影響を受けた人物は、ぱっと思いつかないが祖父はいつもおおらかで、誰からも愛されていた。いつも家でビールや日本酒をおいしそうに飲んでいて飲み終わったらすぐに眠っていた。親父は夜遅くまで現場仕事をするか、飲みに行っていた。よく覚えているのは飲んで帰ってきては家で家族にまとわりつく、飲み過ぎて起きれない、ソファーで嘔吐して母親に激怒されるなど。当時はそんな親父が、嫌で仕方なかったが今の自分をみていると親子だなと思う。,211,"2025-07-04 18:14:33"
q004,幼少期,小学校時代の印象的な出来事や、リーダーシップを発揮した経験があれば教えてください。,,0,
q005,青年期,中学・高校時代はどのような学生でしたか？部活動や勉強、アルバイトなどの経験も含めて。,,0,
q006,青年期,学生時代に経験した挫折や困難、そしてそれをどう乗り越えたか教えてください。,,0,
q007,青年期,進路選択（大学・専門学校・就職など）の際、何を基準に決めましたか？廃棄物処理や水回りの仕事を意識し始めたきっかけはありましたか？,,0,
q008,青年期,青年期に培った人間関係で、現在も続いているものはありますか？それらの関係が事業にどう影響していますか？,,0,
q009,社会人初期,社会人としての第一歩はどこで踏み出しましたか？最初の職場での経験と学びを詳しく教えてください。,,0,
q010,社会人初期,廃棄物処理業界や水回りメンテナンス業界に入ったきっかけと、最初に感じた業界の印象を教えてください。,,0,
q011,社会人初期,独立を決意するまでの心の変化と、最終的に起業を決断した決定的な出来事を教えてください。,,0,
q012,社会人初期,サラリーマン時代に学んだ最も重要なスキルや知識は何ですか？それが現在の経営にどう活きていますか？,,0,
q013,起業期,会社設立時の状況を詳しく教えてください。資本金、創業メンバー、最初の事務所、初受注までの苦労など。,,0,
q014,起業期,創業初期の最大の危機とそれをどう乗り越えたか、具体的なエピソードを教えてください。,,0,
q015,起業期,最初の大口顧客獲得のエピソードと、信頼を勝ち取るために工夫したことを教えてください。,,0,
q016,起業期,起業当時の廃棄物処理業界の状況と、そこで差別化を図った戦略を教えてください。,,0,
q017,成長期,従業員が10名、20名と増えていく過程での組織作りの苦労と工夫を教えてください。,,0,
q018,成長期,売上が1億円を超えた時期の状況と、そこから4億円規模に成長するまでの転機となった出来事を教えてください。,,0,
q019,成長期,事業拡大期に直面した最大の経営危機と、それを乗り越えた方法を具体的に教えてください。,,0,
q020,成長期,競合他社との差別化や、価格競争を避けるために実践してきた独自の戦略を教えてください。,,0,
q021,現在・未来,現在の会社の強みと課題、そして今後5年間で実現したいビジョンを教えてください。,,0,
q022,現在・未来,環境規制の強化やSDGsの潮流の中で、廃棄物処理業界の未来をどう見ていますか？自社の取り組みも含めて。,,0,
q023,現在・未来,後継者育成や事業承継についての考えと、具体的な準備状況を教えてください。,,0,
q024,現在・未来,これまでの経営者人生を振り返って、最も誇りに思うことと、やり残したことを教えてください。,,0,
q025,現在・未来,同じ業界で起業を目指す若者へのメッセージと、成功するために必要な心構えを教えてください。,,0,
